id,zip,city,state,city_type,zip_type,latitude,longitude,header_title,meta_description,meta_keywords,page_header,page_description,url_name
33910,77583,Rosharon,TX,D,S,29.4081460,-95.4416660,,,,,,
33911,77584,Pearland,TX,D,S,29.5449980,-95.3295340,,,,,,
33912,77585,Saratoga,TX,D,S,30.3588160,-94.5595290,,,,,,
33913,77586,Seabrook,TX,D,S,29.5771200,-95.0212200,,,,,,
33914,77587,South Houston,TX,D,S,29.6642580,-95.2343010,,,,,,
33915,77588,Pearland,TX,D,P,29.5531500,-95.2737740,,,,,,
33916,77590,Texas City,TX,D,S,29.3969200,-94.9208310,,,,,,
33917,77591,Texas City,TX,D,S,29.3865980,-94.9874850,,,,,,
33918,77592,Texas City,TX,D,P,29.5087540,-95.1452770,,,,,,
33919,77597,Wallisville,TX,D,S,29.8647710,-94.6924850,,,,,,
33920,77598,Webster,TX,D,S,29.5400730,-95.1427620,,,,,,
33921,77611,Bridge City,TX,D,S,30.0295080,-93.8390650,,,,,,
33922,77612,Buna,TX,D,S,30.2939330,-94.0853990,,,,,,
33923,77613,China,TX,D,P,30.0508640,-94.3064070,,,,,,
33924,77614,Deweyville,TX,D,P,30.4935120,-93.7450140,,,,,,
33925,77615,Evadale,TX,D,P,30.3533120,-94.0740080,,,,,,
33926,77616,Fred,TX,D,S,30.6081120,-94.1868290,,,,,,
33927,77617,Gilchrist,TX,D,P,29.5119820,-94.4903140,,,,,,
33928,77619,Groves,TX,D,S,29.9428310,-93.9134860,,,,,,
33929,77622,Hamshire,TX,D,S,29.8796580,-94.3129700,,,,,,
33930,77623,High Island,TX,D,S,29.5690420,-94.3966750,,,,,,
33931,77624,Hillister,TX,D,S,30.6834600,-94.4110350,,,,,,
33932,77625,Kountze,TX,D,S,30.3139000,-94.2849070,,,,,,
33933,77626,Mauriceville,TX,D,P,30.2020720,-93.8846400,,,,,,
33934,77627,Nederland,TX,D,S,29.9758580,-93.9956750,,,,,,
33935,77629,Nome,TX,D,P,30.0451150,-94.3743200,,,,,,
33936,77630,Orange,TX,D,S,30.0819440,-93.7580560,,,,,,
33937,77631,Orange,TX,D,P,30.0927650,-93.7320400,,,,,,
33938,77632,Orange,TX,D,S,30.1629900,-93.7836440,,,,,,
33939,77639,Orangefield,TX,D,P,30.0532120,-93.8561710,,,,,,
33940,77640,Port Arthur,TX,D,S,29.8953650,-93.9556020,,,,,,
33941,77641,Port Arthur,TX,D,P,29.7923260,-93.9340190,,,,,,
33942,77642,Port Arthur,TX,D,S,29.9207680,-93.9319820,,,,,,
33943,77643,Port Arthur,TX,D,P,29.9007500,-93.9319430,,,,,,
33944,77650,Port Bolivar,TX,D,P,29.4496430,-94.6359970,,,,,,
33945,77651,Port Neches,TX,D,S,29.9809850,-93.9614750,,,,,,
33946,77655,Sabine Pass,TX,D,S,29.7256160,-93.8882580,,,,,,
33947,77656,Silsbee,TX,D,S,30.3199840,-94.1892460,,,,,,
33948,77657,Lumberton,TX,D,S,30.2491120,-94.1918720,,,,,,
33949,77659,Sour Lake,TX,D,S,30.1647000,-94.3509600,,,,,,
33950,77660,Spurger,TX,D,S,30.7266670,-94.1717850,,,,,,
33951,77661,Stowell,TX,D,P,29.7887820,-94.3826180,,,,,,
33952,77662,Vidor,TX,D,S,30.1458720,-94.0109180,,,,,,
33953,77663,Village Mills,TX,D,P,30.5000000,-94.4000000,,,,,,
33954,77664,Warren,TX,D,S,30.6360530,-94.3816390,,,,,,
33955,77665,Winnie,TX,D,S,29.7977710,-94.3511900,,,,,,
33956,77670,Vidor,TX,D,P,30.1217300,-94.0120040,,,,,,
33957,77701,Beaumont,TX,D,S,30.0713670,-94.1032190,,,,,,
33958,77702,Beaumont,TX,D,S,30.0852020,-94.1331660,,,,,,
33959,77703,Beaumont,TX,D,S,30.1119260,-94.1181680,,,,,,
33960,77704,Beaumont,TX,D,P,30.0725860,-94.1031170,,,,,,
33961,77705,Beaumont,TX,D,S,29.9694000,-94.1553000,,,,,,
33962,77706,Beaumont,TX,D,S,30.0949180,-94.1671070,,,,,,
33963,77707,Beaumont,TX,D,S,30.0687570,-94.1739220,,,,,,
33964,77708,Beaumont,TX,D,S,30.1462290,-94.1702620,,,,,,
33965,77709,Beaumont,TX,D,P,30.1741540,-94.1974480,,,,,,
33966,77710,Beaumont,TX,D,P,30.0688700,-94.0993480,,,,,,
33967,77713,Beaumont,TX,D,S,30.1464430,-94.2228690,,,,,,
33968,77720,Beaumont,TX,D,P,30.0355490,-94.1592290,,,,,,
33969,77725,Beaumont,TX,D,P,30.0879050,-94.1019330,,,,,,
33970,77726,Beaumont,TX,D,P,30.0911140,-94.1459570,,,,,,
33971,77801,Bryan,TX,D,S,30.8897200,-96.2944500,,,,,,
33972,77802,Bryan,TX,D,S,30.6600960,-96.3323430,,,,,,
33973,77803,Bryan,TX,D,S,30.6812350,-96.3765930,,,,,,
33974,77805,Bryan,TX,D,P,30.6729450,-96.3430200,,,,,,
33975,77806,Bryan,TX,D,P,30.6759080,-96.3682820,,,,,,
33976,77807,Bryan,TX,D,S,30.6229330,-96.3851760,,,,,,
